Season,Date,away_team,away_team_pts,home_team,home_team_pts
2019,"Wed, Aug 14, 2019",LAS,78,DAL,84
2019,"Wed, Aug 14, 2019",CON,78,PHO,71
2019,"Wed, Aug 14, 2019",SEA,59,WAS,88
2019,"Fri, Aug 16, 2019",LAS,81,CHI,91
2019,"Fri, Aug 16, 2019",SEA,78,CON,79
2019,"Fri, Aug 16, 2019",NYL,77,DAL,83
2019,"Fri, Aug 16, 2019",WAS,86,MIN,79
2019,"Fri, Aug 16, 2019",ATL,68,PHO,77
2019,"Sun, Aug 18, 2019",LVA,100,CHI,85
2019,"Sun, Aug 18, 2019",DAL,68,CON,78
2019,"Sun, Aug 18, 2019",NYL,72,PHO,78
2019,"Sun, Aug 18, 2019",MIN,74,SEA,82
2019,"Sun, Aug 18, 2019",IND,68,WAS,107
2019,"Tue, Aug 20, 2019",CHI,87,ATL,83
2019,"Tue, Aug 20, 2019",NYL,82,IND,76
2019,"Tue, Aug 20, 2019",MIN,71,LAS,81
2019,"Tue, Aug 20, 2019",PHO,79,LVA,84
2019,"Thu, Aug 22, 2019",IND,65,LAS,98
2019,"Thu, Aug 22, 2019",DAL,70,MIN,86
2019,"Fri, Aug 23, 2019",WAS,78,CHI,85
2019,"Fri, Aug 23, 2019",LVA,85,CON,89
2019,"Fri, Aug 23, 2019",ATL,90,NYL,87
2019,"Sun, Aug 25, 2019",ATL,77,DAL,73
2019,"Sun, Aug 25, 2019",CON,72,LAS,84
2019,"Sun, Aug 25, 2019",LVA,77,MIN,98
2019,"Sun, Aug 25, 2019",CHI,94,PHO,86
2019,"Sun, Aug 25, 2019",IND,63,SEA,54
2019,"Sun, Aug 25, 2019",NYL,72,WAS,101
2019,"Tue, Aug 27, 2019",LVA,71,IND,86
2019,"Tue, Aug 27, 2019",CHI,85,MIN,93
2019,"Tue, Aug 27, 2019",PHO,95,NYL,82
2019,"Tue, Aug 27, 2019",CON,89,SEA,70
2019,"Tue, Aug 27, 2019",LAS,66,WAS,95
2019,"Thu, Aug 29, 2019",PHO,65,ATL,58
2019,"Thu, Aug 29, 2019",DAL,88,CHI,83
2019,"Thu, Aug 29, 2019",LAS,87,IND,83
2019,"Fri, Aug 30, 2019",CON,94,NYL,84
2019,"Sat, Aug 31, 2019",WAS,91,DAL,85
2019,"Sat, Aug 31, 2019",LAS,86,LVA,92
2019,"Sun, Sep 1, 2019",PHO,78,CHI,105
2019,"Sun, Sep 1, 2019",IND,73,MIN,81
2019,"Sun, Sep 1, 2019",ATL,75,SEA,92
2019,"Tue, Sep 3, 2019",ATL,60,LAS,70
2019,"Tue, Sep 3, 2019",WAS,93,NYL,77
2019,"Tue, Sep 3, 2019",SEA,82,PHO,70
2019,"Wed, Sep 4, 2019",DAL,72,CON,102
2019,"Thu, Sep 5, 2019",LVA,74,ATL,78
2019,"Thu, Sep 5, 2019",SEA,68,LAS,102
2019,"Fri, Sep 6, 2019",CHI,109,CON,104
2019,"Fri, Sep 6, 2019",IND,86,NYL,81
2019,"Fri, Sep 6, 2019",MIN,83,PHO,69
2019,"Fri, Sep 6, 2019",DAL,73,WAS,86
2019,"Sun, Sep 8, 2019",NYL,71,ATL,63
2019,"Sun, Sep 8, 2019",SEA,78,DAL,64
2019,"Sun, Sep 8, 2019",CON,76,IND,104
2019,"Sun, Sep 8, 2019",MIN,68,LAS,77
2019,"Sun, Sep 8, 2019",LVA,98,PHO,89
2019,"Sun, Sep 8, 2019",CHI,86,WAS,100
2019,"Wed, Sep 11, 2019",PHO,76,CHI,105
2019,"Wed, Sep 11, 2019",MIN,74,SEA,84
2019,"Sun, Sep 15, 2019",SEA,69,LAS,92
2019,"Sun, Sep 15, 2019",CHI,92,LVA,93
2019,"Tue, Sep 17, 2019",LAS,75,CON,84
2019,"Tue, Sep 17, 2019",LVA,95,WAS,97
2019,"Thu, Sep 19, 2019",LAS,68,CON,94
2019,"Thu, Sep 19, 2019",LVA,91,WAS,103
2019,"Sun, Sep 22, 2019",CON,78,LAS,56
2019,"Sun, Sep 22, 2019",WAS,75,LVA,92
2019,"Tue, Sep 24, 2019",WAS,94,LVA,90
2019,"Sun, Sep 29, 2019",CON,86,WAS,95
2019,"Tue, Oct 1, 2019",CON,99,WAS,87
2019,"Sun, Oct 6, 2019",WAS,94,CON,81
2019,"Tue, Oct 8, 2019",WAS,86,CON,90
2019,"Thu, Oct 10, 2019",CON,78,WAS,89
